Rank,Model,Format Sensitivity Max Delta,Format Sensitivity Standard Deviation,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=json&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=verbose_xml&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=True&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=python&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=xml&prompt_fmt=plaintext&style=classic,Config ret_fmt=concise_xml&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=markdown&style=classic,Config ret_fmt=python&tool_call_tag=False&func_doc_fmt=json&prompt_fmt=plaintext&style=experimental
1,Gemma-3-4b-it (Prompt),42.5,14.31,40.00%,43.00%,41.00%,32.00%,31.00%,33.50%,0.50%,9.00%,2.50%,32.50%,33.00%,34.00%,4.50%,8.00%,3.50%,8.50%,18.00%,9.00%,0.50%,5.50%,3.50%,14.00%,22.50%,15.00%,26.50%,30.00%
2,BitAgent-8B,39.0,15.22,2.00%,0.00%,1.50%,36.50%,37.50%,39.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,38.50%,38.50%
3,watt-tool-8B (FC),39.0,15.26,1.00%,0.50%,2.00%,36.50%,37.50%,38.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,39.00%,39.00%
4,CoALM-8B,36.5,15.89,0.50%,4.50%,0.50%,34.00%,35.00%,36.50%,0.00%,0.00%,0.00%,32.00%,32.00%,31.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.50%,35.50%
5,Llama-3.1-8B-Instruct (Prompt),35.0,13.91,15.50%,34.00%,33.50%,33.50%,32.50%,35.00%,2.50%,22.50%,4.00%,32.50%,33.00%,34.00%,2.00%,0.00%,1.50%,19.00%,6.50%,19.50%,1.00%,1.50%,2.50%,13.50%,26.00%,25.00%,34.50%,35.00%
6,ToolACE-2-8B (FC),34.5,11.9,13.00%,24.00%,18.50%,33.50%,34.50%,33.50%,0.00%,0.00%,0.00%,12.50%,19.00%,9.50%,10.50%,4.00%,7.50%,8.50%,2.50%,4.50%,5.00%,5.50%,4.50%,10.00%,5.50%,2.50%,34.00%,33.00%
7,Gemma-3-1b-it (Prompt),24.5,9.68,3.00%,7.00%,9.50%,14.50%,24.50%,20.00%,0.00%,0.00%,0.00%,21.00%,22.00%,23.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,18.00%,22.50%
8,Qwen3-8B (Prompt),20.0,5.32,34.50%,33.00%,34.00%,33.50%,33.50%,34.00%,34.50%,32.50%,35.00%,33.50%,33.00%,35.00%,15.50%,23.00%,21.00%,21.50%,25.00%,27.00%,27.00%,27.50%,31.00%,28.00%,27.50%,31.00%,34.50%,35.50%
9,Ministral-8B-Instruct-2410 (FC),1.0,0.29,35.00%,34.50%,35.00%,35.00%,35.00%,34.50%,34.50%,34.50%,34.50%,34.50%,35.00%,34.50%,35.00%,35.50%,35.00%,34.50%,35.00%,35.00%,35.00%,34.50%,34.50%,34.50%,35.00%,35.00%,34.50%,34.50%
10,xLAM-2-8b-fc-r LoRA ckpt2272-1batch-2560seq-3epoch-apigen-nomlp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
