Rank,Model,Multi Turn (ZH) Overall Acc,ZH: Multi Turn Base,ZH: Multi Turn Miss Func,ZH: Multi Turn Miss Param,ZH: Multi Turn Long Context
1,xLAM-2-8b-fc-r (FC),29.38%,34.00%,29.50%,24.00%,30.00%
2,xLAM-2-8b-fc-r LoRA ckpt9-6epoch-bfcl-turn5e-6-fix-length-new,25.88%,26.00%,28.00%,22.50%,27.00%
3,xLAM-2-8b-fc-r LoRA ckpt6-3epoch-tootagonly-lr1e-5,25.87%,24.00%,28.50%,22.50%,28.50%
4,xLAM-2-8b-fc-r LoRA ckpt3-3epoch-toollossonly-lr5e-6,25.62%,24.50%,28.00%,23.00%,27.00%
5,xLAM-2-8b-fc-r LoRA ckpt30-3epoch-toollossonly-lr5e-6,25.62%,25.50%,28.00%,23.00%,26.00%
6,xLAM-2-8b-fc-r LoRA ckpt54-3epoch-tooltagonly-lr5e-6-r8a16,25.38%,24.00%,27.50%,23.50%,26.50%
7,xLAM-2-8b-fc-r LoRA ckpt6-3epoch-tootagonly-lr5e-6,25.12%,24.50%,28.00%,22.50%,25.50%
8,xLAM-2-8b-fc-r LoRA ckpt30-3epoch-tooltagonly-lr5e-6-r8a16,25.12%,24.00%,27.50%,23.00%,26.00%
9,xLAM-2-8b-fc-r LoRA ckpt43-1epoch-pythonic-production-v2-normal-10K-multirow-4K,25.00%,24.00%,27.50%,22.00%,26.50%
10,xLAM-2-8b-fc-r LoRA ckpt57-3epoch-toollossonly-lr5e-6,25.00%,24.50%,27.50%,22.00%,26.00%
11,xLAM-2-8b-fc-r LoRA ckpt30-3epoch-tootagonly-lr1e-5,24.88%,24.00%,27.50%,21.50%,26.50%
12,xLAM-2-8b-fc-r LoRA ckpt30-3epoch-tootagonly-lr5e-6,24.75%,23.50%,28.00%,22.00%,25.50%
13,xLAM-2-8b-fc-r LoRA ckpt6-3epoch-tooltagonly-lr5e-6-r8a16,24.75%,23.00%,28.00%,21.50%,26.50%
14,xLAM-2-8b-fc-r LoRA ckpt57-3epoch-tootagonly-lr5e-6,24.25%,23.00%,27.50%,22.00%,24.50%
15,xLAM-2-8b-fc-r LoRA ckpt57-3epoch-tootagonly-lr1e-5,24.12%,23.00%,26.50%,22.00%,25.00%
16,xLAM-2-8b-fc-r LoRA ckpt126-6epoch-bfcl-turn5e-6-fix-length-new,24.12%,22.00%,27.00%,21.50%,26.00%
17,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen-nomlp,23.25%,31.00%,20.00%,18.50%,23.50%
18,xLAM-2-8b-fc-r LoRA ckpt246-6epoch-bfcl-turn5e-6-fix-length-new,23.12%,21.00%,25.00%,22.50%,24.00%
19,xLAM-2-8b-fc-r LoRA ckpt172-1epoch-pythonic-production-v2-normal-10K-multirow-4K,22.25%,21.50%,23.00%,21.00%,23.50%
20,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen-nomlp,22.25%,28.00%,22.50%,16.50%,22.00%
21,BitAgent-Bounty-8B,21.75%,23.00%,25.50%,19.50%,19.00%
22,xLAM-2-8b-fc-r LoRA ckpt339-1epoch-pythonic-production-v2-normal-10K-multirow-4K,20.38%,18.00%,21.00%,20.00%,22.50%
23,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen-nomlp,20.38%,27.00%,19.00%,13.50%,22.00%
24,watt-tool-8B (FC),17.75%,21.50%,15.50%,12.50%,21.50%
25,BitAgent-8B,17.50%,21.00%,15.50%,12.50%,21.00%
26,Qwen3-8B (Prompt),16.25%,21.00%,21.00%,13.50%,9.50%
27,ToolACE-2-8B (FC),13.25%,18.00%,11.00%,8.50%,15.50%
28,Qwen3-8B (FC),6.38%,8.00%,7.00%,7.00%,3.50%
29,Llama-3.1-8B-Instruct (FC),4.50%,5.00%,6.00%,3.50%,3.50%
30,Llama-3.1-8B-Instruct (Prompt),4.12%,4.50%,2.50%,4.50%,5.00%
31,CoALM-8B,3.12%,5.00%,3.00%,3.00%,1.50%
32,Ministral-8B-Instruct-2410 (FC),0.25%,0.50%,0.00%,0.50%,0.00%
33,Qwen/Qwen3-8B-FC LoRA ckpt85-2epoch-pythonic-production-v2-normal-10K-multirow-4K,0.00%,N/A,N/A,N/A,N/A
