Rank,Model,Agentic Overall Acc,Web Search Summary,Web Search Base,Web Search No Snippet,Memory Summary,Memory KV,Memory Vector,Memory Recursive Summarization
1,Qwen3-8B (FC),12.82%,5.00%,6.00%,4.00%,20.65%,2.58%,17.42%,41.94%
2,Llama-3.1-8B-Instruct (FC),8.24%,1.00%,1.00%,1.00%,15.48%,4.52%,12.26%,29.68%
3,Qwen3-8B (Prompt),7.99%,2.00%,1.00%,3.00%,13.98%,6.45%,11.61%,23.87%
4,xLAM-2-8b-fc-r (FC),7.96%,0.00%,0.00%,0.00%,15.91%,5.16%,16.13%,26.45%
5,xLAM-2-8b-fc-r LoRA ckpt1315-2batch-1024seq-3epoch-apigen,7.85%,0.00%,0.00%,0.00%,15.70%,7.10%,13.55%,26.45%
6,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-1epoch-apigen,7.85%,0.00%,0.00%,0.00%,15.70%,7.10%,16.77%,23.23%
7,xLAM-2-8b-fc-r LoRA ckpt263-2batch-1024seq-3epoch-apigen,7.53%,0.00%,0.00%,0.00%,15.05%,3.87%,16.77%,24.52%
8,xLAM-2-8b-fc-r LoRA ckpt2840-1batch-2560seq-3epoch-apigen,6.88%,0.00%,0.00%,0.00%,13.76%,3.23%,10.32%,27.74%
9,ToolACE-2-8B (FC),6.67%,0.00%,0.00%,0.00%,13.33%,4.52%,7.10%,28.39%
10,xLAM-2-8b-fc-r LoRA ckpt568-1batch-2560seq-3epoch-apigen,6.45%,0.00%,0.00%,0.00%,12.90%,3.87%,16.77%,18.06%
11,xLAM-2-8b-fc-r LoRA ckpt5115-1batch-2560seq-3epoch-apigen,6.45%,0.00%,0.00%,0.00%,12.90%,1.29%,11.61%,25.81%
12,Llama-3.1-8B-Instruct (Prompt),6.02%,0.00%,0.00%,0.00%,12.04%,9.68%,7.10%,19.35%
13,BitAgent-8B,5.48%,0.00%,0.00%,0.00%,10.97%,1.94%,18.71%,12.26%
14,xLAM-2-8b-fc-r LoRA ckpt2364-2batch-1024seq-3epoch-apigen,5.48%,0.00%,0.00%,0.00%,10.97%,0.65%,14.84%,17.42%
15,watt-tool-8B (FC),5.38%,0.00%,0.00%,0.00%,10.75%,0.65%,14.19%,17.42%
16,xLAM-2-8b-fc-r LoRA ckpt1136-1batch-2560seq-1epoch-apigen,5.16%,0.00%,0.00%,0.00%,10.32%,5.16%,7.74%,18.06%
17,xLAM-2-8b-fc-r LoRA ckpt1705-1batch-2560seq-1epoch-apigen,4.52%,0.00%,0.00%,0.00%,9.03%,1.94%,12.26%,12.90%
18,Gemma-3-4b-it (Prompt),4.48%,1.00%,1.00%,1.00%,7.96%,7.74%,8.39%,7.74%
19,Ministral-8B-Instruct-2410 (FC),4.19%,0.00%,0.00%,0.00%,8.39%,10.97%,6.45%,7.74%
20,Gemma-3-1b-it (Prompt),1.83%,0.00%,0.00%,0.00%,3.66%,4.52%,3.87%,2.58%
21,xLAM-2-8b-fc-r LoRA ckpt2990-1batch-768seq,1.72%,0.00%,0.00%,0.00%,3.44%,2.58%,3.23%,4.52%
22,xLAM-2-8b-fc-r LoRA ckpt5385-1batch-768seq,1.00%,0.50%,1.00%,0.00%,1.51%,1.29%,0.00%,3.23%
23,xLAM-2-8b-fc-r LoRA ckpt598-1batch-768seq,0.97%,0.00%,0.00%,0.00%,1.94%,1.94%,0.00%,3.87%
24,CoALM-8B,0.75%,0.00%,0.00%,0.00%,1.51%,2.58%,1.94%,0.00%
