Rank,Model,Non-Live Overall Acc,AST Summary,Simple AST,Python Simple AST,Java Simple AST,JavaScript Simple AST,Multiple AST,Parallel AST,Parallel Multiple AST,Irrelevance Detection
1,Qwen3-8B (Prompt),89.10%,89.10%,78.42%,96.25%,65.00%,74.00%,95.00%,92.50%,90.50%,87.50%
2,ToolACE-2-8B (FC),87.73%,87.73%,74.42%,85.25%,64.00%,74.00%,92.00%,92.50%,92.00%,96.67%
3,Qwen3-8B (FC),87.71%,87.71%,74.83%,96.50%,62.00%,66.00%,95.00%,92.00%,89.00%,80.83%
4,BitAgent-8B,87.69%,87.69%,76.25%,93.75%,65.00%,70.00%,95.00%,93.50%,86.00%,92.92%
5,watt-tool-8B (FC),87.33%,87.33%,76.83%,93.50%,65.00%,72.00%,95.00%,93.00%,84.50%,93.33%
6,CoALM-8B,85.04%,85.04%,70.17%,92.50%,60.00%,58.00%,93.50%,88.00%,88.50%,91.25%
7,Qwen/Qwen2.5-7B-Instruct,84.75%,84.75%,68.50%,96.50%,57.00%,52.00%,94.50%,91.00%,85.00%,66.25%
8,xLAM-2-8b-fc-r (FC),84.48%,84.48%,73.42%,92.25%,64.00%,64.00%,93.50%,87.00%,84.00%,62.08%
9,Ministral-8B-Instruct-2410 (FC),84.27%,84.27%,73.08%,93.25%,60.00%,66.00%,92.00%,84.50%,87.50%,57.92%
10,Llama-3.1-8B-Instruct (Prompt),84.04%,84.04%,71.67%,94.00%,57.00%,64.00%,95.50%,86.00%,83.00%,47.08%
11,Qwen/Qwen2.5-7B-Instruct LoRA ckpt416-3epoch-llama-factory-apigen-mt,83.65%,83.65%,69.08%,95.25%,58.00%,54.00%,96.00%,84.00%,85.50%,60.00%
12,xLAM-2-8b-fc-r LoRA ckpt400-3epoch-llama-factory-apigen-mt,83.52%,83.52%,72.08%,93.25%,59.00%,64.00%,93.50%,86.00%,82.50%,71.25%
13,xLAM-2-8b-fc-r LoRA ckpt2000-3epoch-llama-factory-apigen-mt,82.19%,82.19%,67.75%,93.25%,58.00%,52.00%,92.50%,85.50%,83.00%,75.83%
14,Meta Llama 3.1-8B-Instruct LoRA ckpt2000-3epoch-llama-factory-apigen-mt,82.06%,82.06%,66.75%,87.25%,51.00%,62.00%,92.00%,86.00%,83.50%,47.92%
15,Meta Llama 3.1-8B-Instruct LoRA ckpt400-3epoch-llama-factory-apigen-mt,81.75%,81.75%,66.00%,90.00%,54.00%,54.00%,90.50%,85.50%,85.00%,30.83%
16,xLAM-2-8b-fc-r LoRA ckpt3651-3epoch-llama-factory-apigen-mt,81.38%,81.38%,67.00%,93.00%,58.00%,50.00%,92.50%,85.00%,81.00%,75.83%
17,Meta Llama 3.1-8B-Instruct LoRA ckpt3651-3epoch-llama-factory-apigen-mt,81.21%,81.21%,65.83%,86.50%,49.00%,62.00%,91.00%,85.50%,82.50%,47.92%
18,BitAgent-Bounty-8B,81.02%,81.02%,71.58%,93.75%,61.00%,60.00%,93.00%,82.00%,77.50%,96.67%
19,Qwen/Qwen2.5-7B-Instruct LoRA ckpt2080-3epoch-llama-factory-apigen-mt,80.50%,80.50%,66.00%,93.00%,55.00%,50.00%,95.50%,77.50%,83.00%,63.33%
20,Qwen/Qwen2.5-7B-Instruct LoRA ckpt3651-3epoch-llama-factory-apigen-mt,79.94%,79.94%,67.25%,92.75%,55.00%,54.00%,96.00%,73.50%,83.00%,65.42%
21,Llama-3.1-8B-Instruct (FC),48.23%,48.23%,55.42%,49.25%,57.00%,60.00%,53.50%,49.50%,34.50%,1.25%
